23,36
55,48
91,50
131,54
166,63
205,62
239,60
285,66
331,75
376,115
356,97
406,124
440,122
481,109
510,94
539,73
565,49
593,47
619,55
645,74
656,89
660,115
656,139
650,151
638,176
633,190
629,211
630,242
639,264
646,280
670,295
701,297
722,288
741,282
756,263
774,219
785,202
790,166
806,119
816,95
834,64
845,62
867,75
884,99
888,122
888,151
886,181
889,233
884,292
880,329
876,354
889,208
885,273
868,383
855,399
841,407
825,414
806,419
771,421
749,421
725,420
663,419
609,418
698,415
623,420
574,421
513,429
544,430
473,431
439,427
389,421
413,419
356,411
316,395
274,375
241,351
201,327
167,300
137,271
117,243
92,211
74,173
57,133
