64,256
78,275
86,295
105,320
115,343
128,363
151,379
169,376
179,391
158,383
133,353
118,328
78,290
51,254
42,239
276,422
268,403
260,393
252,378
239,353
230,342
204,323
196,311
191,303
181,273
162,251
153,233
203,235
204,236
204,251
207,268
234,283
252,287
256,287
208,271
180,226
172,223
155,219
144,214
245,263
262,274
285,267
312,251
335,245
361,234
300,226
341,227
365,219
408,200
440,183
459,167
465,162
511,131
538,115
562,104
596,94
601,87
478,136
466,148
409,196
368,214
361,209
402,183
429,163
438,152
473,130
507,112
534,99
528,88
455,110
430,129
397,155
362,183
346,186
411,143
462,113
519,94
547,92
516,80
460,110
637,163
637,163
612,167
588,176
580,181
561,191
543,196
504,217
480,231
459,246
435,256
411,271
390,289
352,323
341,324
331,327
331,345
339,347
349,350
356,358
372,360
388,367
404,375
416,383
429,395
466,393
486,391
526,384
544,379
565,367
592,351
632,331
638,311
646,279
653,259
653,225
592,229
564,246
524,279
484,307
449,330
182,379
209,378
223,380
236,380
387,245
389,236
433,203
562,216
213,401
225,407
