155,455
175,455
175,455
199,456
227,457
247,455
271,455
294,457
316,459
338,458
364,458
391,460
413,466
415,466
402,446
390,426
376,404
362,387
348,372
324,351
296,330
280,311
267,292
257,295
233,328
217,353
196,379
163,416
147,435
198,413
228,408
251,373
267,350
255,402
319,420
344,409
305,389
287,375
275,416
432,465
432,465
449,460
473,456
502,459
526,463
548,463
586,462
615,463
654,469
680,471
698,472
695,468
657,440
629,415
616,394
603,369
587,339
569,296
561,272
559,267
550,288
535,316
518,349
495,391
467,427
449,438
542,363
507,427
554,400
613,403
571,421
550,379
585,420
543,425
535,425
588,285
588,285
606,312
627,338
642,358
665,378
687,399
699,417
719,439
735,467
748,487
120,459
558,232
521,233
520,233
481,235
449,232
435,234
399,239
358,241
319,241
281,247
265,251
265,251
308,217
331,196
359,170
380,143
395,124
412,91
434,51
458,75
491,101
506,127
517,158
532,187
543,203
503,200
499,199
434,197
383,202
359,193
463,166
486,130
427,133
410,161
415,184
468,198
451,99
451,103
118,460
