39,11
36,35
32,58
30,79
32,102
31,123
28,151
30,168
33,187
48,203
61,211
84,218
109,222
132,223
170,222
197,223
220,224
240,224
256,225
284,228
304,231
330,231
341,232
355,233
376,234
403,235
432,244
448,257
465,275
474,292
480,312
480,336
468,357
452,377
433,392
420,400
396,404
380,403
357,392
345,379
334,359
325,338
321,323
304,311
272,309
244,312
202,342
180,378
168,404
157,421
146,428
120,429
102,420
68,404
43,406
21,423
8,441
0,462
0,475
22,485
36,485
51,488
70,494
88,496
103,494
115,494
129,498
152,495
170,495
192,495
216,493
243,491
267,486
288,481
312,480
344,483
368,483
388,483
416,482
448,481
491,487
537,490
562,480
580,467
588,456
596,442
604,421
616,413
634,413
653,431
662,448
668,466
677,487
693,499
720,494
744,482
763,461
776,439
789,411
812,387
826,390
851,427
856,448
866,469
892,490
927,493
960,473
973,452
980,424
980,395
974,364
966,344
950,327
924,323
901,339
884,351
877,349
856,335
839,320
816,315
785,315
757,323
739,345
728,363
716,372
706,375
679,361
655,348
624,338
600,335
588,339
560,334
547,311
544,284
546,255
562,238
585,234
608,246
628,262
660,272
702,267
719,255
740,239
762,218
780,207
781,207
822,227
852,244
877,255
892,255
916,242
931,226
945,187
945,167
944,122
944,85
910,31
884,27
876,35
866,52
852,68
828,77
798,75
770,63
743,54
719,51
697,53
668,61
649,79
628,95
560,116
528,116
505,96
486,75
447,59
406,57
380,62
367,67
348,80
328,95
295,106
248,98
226,77
213,47
202,23
177,8
145,10
134,23
132,26
124,62
121,84
122,103
131,127
148,143
173,155
209,162
237,163
261,163
308,167
352,167
391,167
434,168
599,109
477,182
521,179
563,176
602,174
638,171
686,163
726,152
765,143
804,145
848,145
932,54
881,145
