482,246
492,210
492,161
491,97
487,124
499,60
483,283
484,323
481,364
477,411
475,460
511,258
532,287
559,315
592,355
611,369
644,407
676,439
520,212
579,215
644,221
686,224
745,224
781,228
712,227
612,221
545,215
525,181
572,163
596,141
642,105
680,78
721,55
761,34
619,129
466,215
406,174
441,193
373,148
346,130
312,104
279,80
253,60
434,216
412,230
386,251
350,268
309,295
278,316
225,343
239,343
198,359
159,387
447,246
424,283
404,319
384,350
372,373
355,401
339,435
320,478
359,478
404,473
440,466
513,465
555,467
605,462
648,460
712,415
736,388
754,354
775,320
788,270
788,190
792,152
788,107
787,59
734,24
702,22
656,21
608,28
559,35
521,43
462,36
425,24
385,31
342,31
288,33
225,75
198,107
175,136
154,164
141,196
131,231
130,273
132,299
134,339
163,408
142,361
194,430
218,453
252,467
291,476
472,227
481,222
