11,13
11,13
38,11
72,11
120,11
160,10
196,8
227,8
266,8
303,7
339,11
404,11
447,11
512,16
516,17
556,20
610,24
675,29
761,45
836,51
916,63
934,161
890,234
796,276
685,285
544,273
440,239
446,167
561,137
688,178
756,251
752,305
699,370
558,390
408,379
181,329
121,251
172,151
287,99
431,98
528,131
525,230
437,298
364,322
172,287
23,285
60,403
214,437
432,379
704,360
746,405
892,406
879,299
744,331
610,351
452,334
318,245
211,163
128,83
192,25
316,82
363,187
399,276
504,350
605,351
664,241
650,145
558,126
357,130
140,143
92,251
142,323
224,377
405,402
629,415
761,418
823,361
798,303
616,291
500,308
371,273
284,182
294,124
409,120
519,172
621,213
736,256
861,244
904,187
919,136
910,94
856,42
723,27
648,26
625,48
785,75
870,66
892,122
854,208
814,272
807,322
870,375
866,426
731,427
565,351
511,352
440,398
265,380
204,422
104,417
88,403
165,420
281,411
379,408
488,402
488,383
296,397
351,403
305,352
224,347
140,345
39,281
67,258
101,296
171,310
245,375
200,410
133,425
128,430
256,414
385,395
493,375
427,279
250,191
232,141
166,66
120,115
201,99
337,94
320,189
324,227
394,167
440,147
408,234
333,275
330,275
340,346
408,361
468,363
555,378
605,335
589,288
551,268
508,188
544,145
608,134
621,143
704,194
728,222
735,256
742,333
743,392
685,431
661,416
644,374
640,317
636,266
614,220
876,275
